,time,x,y,formula
0,2023-08-26 19-44-01,5742,-55,-315810
1,2023-08-26 19-44-02,5742,-55,-315810
2,2023-08-26 19-44-02,5742,-55,-315810
3,2023-08-26 19-44-02,5743,-55,-315865
4,2023-08-26 19-44-02,5743,-55,-315865
5,2023-08-26 19-44-03,5743,-54,-310122
6,2023-08-26 19-44-03,5744,-53,-304432
7,2023-08-26 19-44-03,5744,-53,-304432
8,2023-08-26 19-44-03,5745,-54,-310230
9,2023-08-26 19-44-03,5744,-53,-304432
10,2023-08-26 19-44-03,5744,-52,-298688
11,2023-08-26 19-44-04,5745,-53,-304485
12,2023-08-26 19-44-04,5744,-53,-304432
13,2023-08-26 19-44-04,5744,-53,-304432
14,2023-08-26 19-44-04,5743,-53,-304379
15,2023-08-26 19-44-04,5743,-53,-304379
16,2023-08-26 19-44-04,5742,-53,-304326
17,2023-08-26 19-44-04,5742,-54,-310068
18,2023-08-26 19-44-05,5742,-53,-304326
19,2023-08-26 19-44-05,5742,-53,-304326
20,2023-08-26 19-44-05,5742,-54,-310068
21,2023-08-26 19-44-05,5742,-54,-310068
22,2023-08-26 19-44-05,5742,-53,-304326
23,2023-08-26 19-44-05,5743,-53,-304379
24,2023-08-26 19-44-05,5743,-53,-304379
25,2023-08-26 19-44-06,5744,-53,-304432
26,2023-08-26 19-44-06,5744,-52,-298688
27,2023-08-26 19-44-06,5744,-52,-298688
28,2023-08-26 19-44-06,5743,-53,-304379
29,2023-08-26 19-44-06,5744,-53,-304432
30,2023-08-26 19-44-06,5744,-53,-304432
31,2023-08-26 19-44-06,5742,-54,-310068
32,2023-08-26 19-44-07,5739,-56,-321384
33,2023-08-26 19-44-07,5739,-56,-321384
34,2023-08-26 19-44-07,5740,-56,-321440
35,2023-08-26 19-44-07,5740,-56,-321440
36,2023-08-26 19-44-07,5742,-54,-310068
37,2023-08-26 19-44-07,5742,-54,-310068
38,2023-08-26 19-44-07,5742,-54,-310068
39,2023-08-26 19-44-08,5743,-54,-310122
40,2023-08-26 19-44-08,5742,-54,-310068
41,2023-08-26 19-44-08,5742,-54,-310068
42,2023-08-26 19-44-08,5745,-55,-315975
43,2023-08-26 19-44-08,5744,-55,-315920
44,2023-08-26 19-44-08,5744,-55,-315920
45,2023-08-26 19-44-08,5744,-55,-315920
46,2023-08-26 19-44-09,5743,-55,-315865
47,2023-08-26 19-44-09,5743,-53,-304379
48,2023-08-26 19-44-09,5743,-53,-304379
49,2023-08-26 19-44-10,5743,-53,-304379
